Year,Miembros de la universidad,Sexo,Series,Value
2021-2022,,,Total,0.7
2021-2022,Personal de administración y servicios,Hombres,Desagregado,0.0
2021-2022,Personal de administración y servicios,Mujeres,Desagregado,0.75
2021-2022,Personal docente e investigador,Hombres,Desagregado,0.6
2021-2022,Personal docente e investigador,Mujeres,Desagregado,0.1
2022-2023,,,Total,0.62
2022-2023,Personal de administración y servicios,Hombres,Desagregado,0.0
2022-2023,Personal de administración y servicios,Mujeres,Desagregado,1.88
2022-2023,Personal docente e investigador,Hombres,Desagregado,0.47
2022-2023,Personal docente e investigador,Mujeres,Desagregado,0.19
